plot,element,detected_clusters
BM08,1,549
BM08,2,534
BM08,3,548
BM08,4,
BM08,5,
BM08,6,
BM08,7,
BM08,8,
BM08,9,
BM08,10,
BM08,11,553; 580; 581; 582; 585; 587; 588; 590; 692
BM08,12,567
BM08,13,655
BM08,14,544
BM08,15,
BM08,16,552; 542; 541; 540
BM08,17,569; 632; 571; 572; 573
BM08,18,550; 551; 618
BM08,19,552
BM08,20,514; 508; 521
BM08,21,522
BM08,22,528; 529; 510; 526; 219
BM08,23,617; 595; 535; 509; 620
BM08,24,
BM08,25,
BM08,26,
BM08,27,651; 672
BM08,28,
BM08,29,
BM08,30,
BM08,31,89
BM08,32,98
BM08,33,412; 413
BM08,34,285
BM08,35,1
BM08,36,2
BM08,37,381; 391
BM08,38,380
BM08,39,
BM08,40,277; 343; 340; 391
BM08,41,344
BM08,42,179
BM08,43,103
BM08,44,
