plot;element;detected_clusters
BM10;1;
BM10;2;76
BM10;3;
BM10;4;
BM10;5;
BM10;6;
BM10;7;744
BM10;8;
BM10;9;793
BM10;10;
BM10;11;
BM10;12;
BM10;13;375
BM10;14;
BM10;15;"468; 617; 459"
BM10;16;
BM10;17;
BM10;18;
BM10;19;422
BM10;20;
BM10;21;573
BM10;22;"176; 332; 358"
BM10;23;195
BM10;24;761
