"plot";"nb_reference";"nb_detectable";"nb_detected";"detectability";"detection_level";"model_accuracy"
"07_04";21;13;7;61,9;33,33;53,85
"BM01";16;13;8;81,25;50;61,54
"BM02";13;12;8;92,31;61,54;66,67
"BM03";20;17;15;85;75;88,24
"BM04";24;20;15;83,33;62,5;75
"BM05";11;9;8;81,82;72,73;88,89
"BM06";20;17;14;85;70;82,35
"BM07";20;19;14;95;70;73,68
"BM08";44;33;28;75;63,64;84,85
"BM09";10;8;5;80;50;62,5
"BM10";24;18;10;75;41,67;55,56
"BM11";13;9;5;69,23;38,46;55,56
"Mean";19,67;15,67;11,42;80,4;57,41;70,72
"Min";10;12;10;61,9;33,33;53,85
"Max";44;9;8;95;75;88,89
