"plot";"total_reference_volume";"total_detectable_volume";"percent_detectable";"total_detected_volume";"percent_detected";"model_acc"
"07_04";0,652;1,197;183,535;0,159;24,45;13,322
"BM01";1,971;0,639;32,397;0,103;5,202;16,056
"BM02";0,628;0,508;80,796;0,176;28,063;34,733
"BM03";1,271;0,855;67,283;0,409;32,16;47,798
"BM04";2,152;0,568;26,369;0,382;17,754;67,329
"BM05";0,525;0,305;58,027;0,245;46,672;80,432
"BM06";1,65;0,411;24,89;0,266;16,148;64,878
"BM07";2,701;1,682;62,268;0,489;18,099;29,066
"BM08";2,329;1,217;52,233;0,96;41,228;78,929
"BM09";0,638;0,353;55,407;0,214;33,522;60,501
"BM10";0,535;0,313;58,418;0,099;18,42;31,531
"BM11";0,43;0,47;109,211;0,113;26,196;23,987
"Mean";1,29;0,71;67,569;0,301;25,659;45,714
"Min";0,43;0,305;24,89;0,099;5,202;13,322
"Max";2,701;1,682;183,535;0,96;46,672;80,432
